Text	AlexLabel	card	TAS20	F1	F2	F3	SubClass	Tokens	Words	Stems
Yo veo como unos gorriones que se han posado en la ladera de una montaña y están descansando en medio de un viaje. Y en la montaña ha habido derrumbamientos, pero no pasa nada. Y están pues tranquilos, reposando sin más. 	NoAlex	11	29.0	12.0	6.0	11.0	NoAlex-11	['Yo', 'veo', 'como', 'unos', 'gorriones', 'que', 'se', 'han', 'posado', 'en', 'la', 'ladera', 'de', 'una', 'montaña', 'y', 'están', 'descansando', 'en', 'medio', 'de', 'un', 'viaje', 'Y', 'en', 'la', 'montaña', 'ha', 'habido', 'derrumbamientos', 'pero', 'no', 'pasa', 'nada', 'Y', 'están', 'pues', 'tranquilos', 'reposando', 'sin', 'más']	['yo', 'veo', 'gorriones', 'posado', 'ladera', 'montaña', 'descansando', 'medio', 'viaje', 'y', 'montaña', 'derrumbamientos', 'pasa', 'y', 'pues', 'tranquilos', 'reposando']	['yo', 'veo', 'gorrion', 'pos', 'lader', 'montañ', 'descans', 'medi', 'viaj', 'y', 'montañ', 'derrumb', 'pas', 'y', 'pues', 'tranquil', 'rep']
Pues lo que veo es un niño que está harto de tocar el violín, que le obligan, y es que está desesperado porque no le gusta nada, y está pues pensando cómo hacer para dejarlo. 	NoAlex	1	29.0	12.0	6.0	11.0	NoAlex-1	['Pues', 'lo', 'que', 'veo', 'es', 'un', 'niño', 'que', 'está', 'harto', 'de', 'tocar', 'el', 'violín', 'que', 'le', 'obligan', 'y', 'es', 'que', 'está', 'desesperado', 'porque', 'no', 'le', 'gusta', 'nada', 'y', 'está', 'pues', 'pensando', 'cómo', 'hacer', 'para', 'dejarlo']	['pues', 'veo', 'niño', 'harto', 'tocar', 'violín', 'obligan', 'desesperado', 'gusta', 'pues', 'pensando', 'cómo', 'hacer', 'dejarlo']	['pues', 'veo', 'niñ', 'hart', 'toc', 'violin', 'oblig', 'desesper', 'gust', 'pues', 'pens', 'com', 'hac', 'dej']
Hay una mujer en la cama, que está semi-desnuda y un hombre que está llorándola. Parece que esta mujer tiene que haber cometido suicidio o algo porque está el hombre como muy afectado y está en la cama, o se la ha encontrado muerta, está fallecida.  	NoAlex	13HM	43.0	14.0	14.0	15.0	NoAlex-13HM	['Hay', 'una', 'mujer', 'en', 'la', 'cama', 'que', 'está', 'semi', 'desnuda', 'y', 'un', 'hombre', 'que', 'está', 'llorándola', 'Parece', 'que', 'esta', 'mujer', 'tiene', 'que', 'haber', 'cometido', 'suicidio', 'o', 'algo', 'porque', 'está', 'el', 'hombre', 'como', 'muy', 'afectado', 'y', 'está', 'en', 'la', 'cama', 'o', 'se', 'la', 'ha', 'encontrado', 'muerta', 'está', 'fallecida']	['hay', 'mujer', 'cama', 'semi', 'desnuda', 'hombre', 'llorándola', 'parece', 'mujer', 'haber', 'cometido', 'suicidio', 'hombre', 'afectado', 'cama', 'encontrado', 'muerta', 'fallecida']	['hay', 'muj', 'cam', 'semi', 'desnud', 'hombr', 'llor', 'parec', 'muj', 'hab', 'comet', 'suicidi', 'hombr', 'afect', 'cam', 'encontr', 'muert', 'fallec']
Es una cascada, que hemos llegado buscando un tesoro y es el último punto antes de llegar al tesoro. Detrás de la cascada está el tesoro pirata del capitán Barbarroja, que escondió allí con muchos lingotes de oro. 	NoAlex	11	41.0	13.0	12.0	16.0	NoAlex-11	['Es', 'una', 'cascada', 'que', 'hemos', 'llegado', 'buscando', 'un', 'tesoro', 'y', 'es', 'el', 'último', 'punto', 'antes', 'de', 'llegar', 'al', 'tesoro', 'Detrás', 'de', 'la', 'cascada', 'está', 'el', 'tesoro', 'pirata', 'del', 'capitán', 'Barbarroja', 'que', 'escondió', 'allí', 'con', 'muchos', 'lingotes', 'de', 'oro']	['es', 'cascada', 'llegado', 'buscando', 'tesoro', 'último', 'punto', 'llegar', 'tesoro', 'detrás', 'cascada', 'tesoro', 'pirata', 'capitán', 'barbarroja', 'escondió', 'allí', 'lingotes', 'oro']	['es', 'casc', 'lleg', 'busc', 'tesor', 'ultim', 'punt', 'lleg', 'tesor', 'detras', 'casc', 'tesor', 'pirat', 'capitan', 'barbarroj', 'escond', 'alli', 'lingot', 'oro']
Esto es una historia muy bonita porque se han ido por ahí a buscar un tesoro, se han perdido en la jungla y entonces han llegado a un lugar que hay una pared de piedras, y hay unas rocas que se han caído y en el fondo se ve algo como iluminado y es un tesoro que está brillante, pero tienen miedo de ir a por él, porque seguro que tiene truco esto y algo va a pasar, como en las películas. 	NoAlex	11	47.0	17.0	10.0	20.0	NoAlex-11	['Esto', 'es', 'una', 'historia', 'muy', 'bonita', 'porque', 'se', 'han', 'ido', 'por', 'ahí', 'a', 'buscar', 'un', 'tesoro', 'se', 'han', 'perdido', 'en', 'la', 'jungla', 'y', 'entonces', 'han', 'llegado', 'a', 'un', 'lugar', 'que', 'hay', 'una', 'pared', 'de', 'piedras', 'y', 'hay', 'unas', 'rocas', 'que', 'se', 'han', 'caído', 'y', 'en', 'el', 'fondo', 'se', 've', 'algo', 'como', 'iluminado', 'y', 'es', 'un', 'tesoro', 'que', 'está', 'brillante', 'pero', 'tienen', 'miedo', 'de', 'ir', 'a', 'por', 'él', 'porque', 'seguro', 'que', 'tiene', 'truco', 'esto', 'y', 'algo', 'va', 'a', 'pasar', 'como', 'en', 'las', 'películas']	['esto', 'historia', 'bonita', 'ido', 'ahí', 'buscar', 'tesoro', 'perdido', 'jungla', 'entonces', 'llegado', 'lugar', 'pared', 'piedras', 'unas', 'rocas', 'caído', 'fondo', 've', 'iluminado', 'tesoro', 'brillante', 'miedo', 'ir', 'seguro', 'truco', 'va', 'pasar', 'películas']	['esto', 'histori', 'bonit', 'ido', 'ahi', 'busc', 'tesor', 'perd', 'jungl', 'entonc', 'lleg', 'lug', 'par', 'piedr', 'unas', 'roc', 'caid', 'fond', 've', 'ilumin', 'tesor', 'brillant', 'mied', 'ir', 'segur', 'truc', 'va', 'pas', 'pelicul']
Son vaqueros que estaban ahí sacando las vacas y han dicho es la hora de la siesta, ¿no? Y se han apiñado todos debajo de un árbol y como son muy amigos se están apoyando unos en los otros. 	NoAlex	9VH	47.0	17.0	10.0	20.0	NoAlex-9VH	['Son', 'vaqueros', 'que', 'estaban', 'ahí', 'sacando', 'las', 'vacas', 'y', 'han', 'dicho', 'es', 'la', 'hora', 'de', 'la', 'siesta', 'no', 'Y', 'se', 'han', 'apiñado', 'todos', 'debajo', 'de', 'un', 'árbol', 'y', 'como', 'son', 'muy', 'amigos', 'se', 'están', 'apoyando', 'unos', 'en', 'los', 'otros']	['son', 'vaqueros', 'ahí', 'sacando', 'vacas', 'dicho', 'hora', 'siesta', 'y', 'apiñado', 'debajo', 'árbol', 'amigos', 'apoyando']	['son', 'vaquer', 'ahi', 'sac', 'vac', 'dich', 'hor', 'siest', 'y', 'apiñ', 'debaj', 'arbol', 'amig', 'apoy']
Ha sido una tarde muy calurosa y después de trabajar todo el día segando en los campos están muy cansados y han decidido descansar un rato para luego irse por ahí. 	NoAlex	9VH	41.0	13.0	12.0	16.0	NoAlex-9VH	['Ha', 'sido', 'una', 'tarde', 'muy', 'calurosa', 'y', 'después', 'de', 'trabajar', 'todo', 'el', 'día', 'segando', 'en', 'los', 'campos', 'están', 'muy', 'cansados', 'y', 'han', 'decidido', 'descansar', 'un', 'rato', 'para', 'luego', 'irse', 'por', 'ahí']	['ha', 'sido', 'tarde', 'calurosa', 'después', 'trabajar', 'día', 'segando', 'campos', 'cansados', 'decidido', 'descansar', 'rato', 'luego', 'irse', 'ahí']	['ha', 'sid', 'tard', 'calur', 'despues', 'trabaj', 'dia', 'seg', 'camp', 'cans', 'decid', 'descans', 'rat', 'lueg', 'irse', 'ahi']
Hay un grupo de trabajadores, que están un poco cansados de tener que mostrar ser machitos y entonces han decidido apoyarse los unos en los otros y darse mucho afecto en público. 	NoAlex	9VH	36.0	16.0	7.0	13.0	NoAlex-9VH	['Hay', 'un', 'grupo', 'de', 'trabajadores', 'que', 'están', 'un', 'poco', 'cansados', 'de', 'tener', 'que', 'mostrar', 'ser', 'machitos', 'y', 'entonces', 'han', 'decidido', 'apoyarse', 'los', 'unos', 'en', 'los', 'otros', 'y', 'darse', 'mucho', 'afecto', 'en', 'público']	['hay', 'grupo', 'trabajadores', 'cansados', 'tener', 'mostrar', 'ser', 'machitos', 'entonces', 'decidido', 'apoyarse', 'darse', 'afecto', 'público']	['hay', 'grup', 'trabaj', 'cans', 'ten', 'mostr', 'ser', 'machit', 'entonc', 'decid', 'apoy', 'dars', 'afect', 'public']
Hombres vestidos de campo que han estado segando y ahora es el mediodía y paran para echar la siesta porque hace mucho calor y están todos en un sitio como charlando y durmiendo a la sombra, muy tranquilos, descansando antes de volver a trabajar. 	NoAlex	9VH	29.0	12.0	6.0	11.0	NoAlex-9VH	['Hombres', 'vestidos', 'de', 'campo', 'que', 'han', 'estado', 'segando', 'y', 'ahora', 'es', 'el', 'mediodía', 'y', 'paran', 'para', 'echar', 'la', 'siesta', 'porque', 'hace', 'mucho', 'calor', 'y', 'están', 'todos', 'en', 'un', 'sitio', 'como', 'charlando', 'y', 'durmiendo', 'a', 'la', 'sombra', 'muy', 'tranquilos', 'descansando', 'antes', 'de', 'volver', 'a', 'trabajar']	['hombres', 'vestidos', 'campo', 'segando', 'ahora', 'mediodía', 'paran', 'echar', 'siesta', 'hace', 'calor', 'sitio', 'charlando', 'durmiendo', 'sombra', 'tranquilos', 'descansando', 'volver', 'trabajar']	['hombr', 'vest', 'camp', 'seg', 'ahor', 'mediod', 'par', 'echar', 'siest', 'hac', 'calor', 'siti', 'charl', 'durm', 'sombr', 'tranquil', 'descans', 'volv', 'trabaj']
Parece que están descansando, porque están unos apoyados en otros, porque tienen los gorros puestos deliberadamente sobre la cabeza, así que supongo que están bajo el sol un día de verano o algo así. Una serie de trabajadores que han estado trabajando y se han tumbado a descansar. 	NoAlex	9VH	43.0	14.0	14.0	15.0	NoAlex-9VH	['Parece', 'que', 'están', 'descansando', 'porque', 'están', 'unos', 'apoyados', 'en', 'otros', 'porque', 'tienen', 'los', 'gorros', 'puestos', 'deliberadamente', 'sobre', 'la', 'cabeza', 'así', 'que', 'supongo', 'que', 'están', 'bajo', 'el', 'sol', 'un', 'día', 'de', 'verano', 'o', 'algo', 'así', 'Una', 'serie', 'de', 'trabajadores', 'que', 'han', 'estado', 'trabajando', 'y', 'se', 'han', 'tumbado', 'a', 'descansar']	['parece', 'descansando', 'apoyados', 'gorros', 'puestos', 'deliberadamente', 'cabeza', 'así', 'supongo', 'bajo', 'sol', 'día', 'verano', 'así', 'una', 'serie', 'trabajadores', 'trabajando', 'tumbado', 'descansar']	['parec', 'descans', 'apoy', 'gorr', 'puest', 'deliber', 'cabez', 'asi', 'supong', 'baj', 'sol', 'dia', 'veran', 'asi', 'una', 'seri', 'trabaj', 'trabaj', 'tumb', 'descans']
Parece como una cascada, con unas rocas debajo y una urracas en medio, y es un día en el campo que unos pájaros se encontraron y se enamoraron en este precioso paisaje. 	NoAlex	11	42.0	14.0	11.0	17.0	NoAlex-11	['Parece', 'como', 'una', 'cascada', 'con', 'unas', 'rocas', 'debajo', 'y', 'una', 'urracas', 'en', 'medio', 'y', 'es', 'un', 'día', 'en', 'el', 'campo', 'que', 'unos', 'pájaros', 'se', 'encontraron', 'y', 'se', 'enamoraron', 'en', 'este', 'precioso', 'paisaje']	['parece', 'cascada', 'unas', 'rocas', 'debajo', 'urracas', 'medio', 'día', 'campo', 'pájaros', 'encontraron', 'enamoraron', 'precioso', 'paisaje']	['parec', 'casc', 'unas', 'roc', 'debaj', 'urrac', 'medi', 'dia', 'camp', 'pajar', 'encontr', 'enamor', 'precios', 'paisaj']
Está la mujer dormida, su esposo se acaba de levantar, está pensando en lo tarde que es y que tiene que llegar rápido al trabajo.	NoAlex	13HM	42.0	12.0	16.0	14.0	NoAlex-13HM	['Está', 'la', 'mujer', 'dormida', 'su', 'esposo', 'se', 'acaba', 'de', 'levantar', 'está', 'pensando', 'en', 'lo', 'tarde', 'que', 'es', 'y', 'que', 'tiene', 'que', 'llegar', 'rápido', 'al', 'trabajo']	['está', 'mujer', 'dormida', 'esposo', 'acaba', 'levantar', 'pensando', 'tarde', 'llegar', 'rápido', 'trabajo']	['esta', 'muj', 'dorm', 'espos', 'acab', 'levant', 'pens', 'tard', 'lleg', 'rap', 'trabaj']
Este niño está frustrado porque tiene demasiados deseos de tocar el violín, pero no le sale como él quisiera, entonces justamente está pensando en qué cosas tiene que hacer para poder mejorar. 	NoAlex	1	42.0	12.0	16.0	14.0	NoAlex-1	['Este', 'niño', 'está', 'frustrado', 'porque', 'tiene', 'demasiados', 'deseos', 'de', 'tocar', 'el', 'violín', 'pero', 'no', 'le', 'sale', 'como', 'él', 'quisiera', 'entonces', 'justamente', 'está', 'pensando', 'en', 'qué', 'cosas', 'tiene', 'que', 'hacer', 'para', 'poder', 'mejorar']	['este', 'niño', 'frustrado', 'demasiados', 'deseos', 'tocar', 'violín', 'sale', 'quisiera', 'entonces', 'justamente', 'pensando', 'cosas', 'hacer', 'poder', 'mejorar']	['este', 'niñ', 'frustr', 'demasi', 'dese', 'toc', 'violin', 'sal', 'quis', 'entonc', 'just', 'pens', 'cos', 'hac', 'pod', 'mejor']
Es como un animal, que ha llegado como a la zona de un risco, donde hay una cascada también y está ahí tranquilamente pastando mientras piensa en la vida. 	NoAlex	11	42.0	12.0	16.0	14.0	NoAlex-11	['Es', 'como', 'un', 'animal', 'que', 'ha', 'llegado', 'como', 'a', 'la', 'zona', 'de', 'un', 'risco', 'donde', 'hay', 'una', 'cascada', 'también', 'y', 'está', 'ahí', 'tranquilamente', 'pastando', 'mientras', 'piensa', 'en', 'la', 'vida']	['es', 'animal', 'llegado', 'zona', 'risco', 'cascada', 'ahí', 'tranquilamente', 'pastando', 'mientras', 'piensa', 'vida']	['es', 'animal', 'lleg', 'zon', 'risc', 'casc', 'ahi', 'tranquil', 'past', 'mientr', 'piens', 'vid']
Es gente que en una jornada laboral está descansando, pues es su rato de descanso, y nada, parece que están en el campo así que entiendo que están trabajando al aire libre, aunque estén bastantie bien vestidos. No me imagino qué pueden estar haciendo.  	Alex	9VH	55.0	20.0	18.0	17.0	Alex-9VH	['Es', 'gente', 'que', 'en', 'una', 'jornada', 'laboral', 'está', 'descansando', 'pues', 'es', 'su', 'rato', 'de', 'descanso', 'y', 'nada', 'parece', 'que', 'están', 'en', 'el', 'campo', 'así', 'que', 'entiendo', 'que', 'están', 'trabajando', 'al', 'aire', 'libre', 'aunque', 'estén', 'bastantie', 'bien', 'vestidos', 'No', 'me', 'imagino', 'qué', 'pueden', 'estar', 'haciendo']	['es', 'gente', 'jornada', 'laboral', 'descansando', 'pues', 'rato', 'descanso', 'parece', 'campo', 'así', 'entiendo', 'trabajando', 'aire', 'libre', 'aunque', 'bastantie', 'bien', 'vestidos', 'no', 'imagino', 'pueden', 'haciendo']	['es', 'gent', 'jorn', 'laboral', 'descans', 'pues', 'rat', 'descans', 'parec', 'camp', 'asi', 'entiend', 'trabaj', 'air', 'libr', 'aunqu', 'bastanti', 'bien', 'vest', 'no', 'imagin', 'pued', 'hac']
Parece ser que puede ser como un puente que entra en un castillo, ahí veo unas sombras, puede ser gente que esté entrando a una ciudadela o algo así. Están agrupado, puede ser un ejercito volviendo de un combate. Un ejercito volviendo del combate a una ciudadela. 	Alex	11	55.0	20.0	18.0	17.0	Alex-11	['Parece', 'ser', 'que', 'puede', 'ser', 'como', 'un', 'puente', 'que', 'entra', 'en', 'un', 'castillo', 'ahí', 'veo', 'unas', 'sombras', 'puede', 'ser', 'gente', 'que', 'esté', 'entrando', 'a', 'una', 'ciudadela', 'o', 'algo', 'así', 'Están', 'agrupado', 'puede', 'ser', 'un', 'ejercito', 'volviendo', 'de', 'un', 'combate', 'Un', 'ejercito', 'volviendo', 'del', 'combate', 'a', 'una', 'ciudadela']	['parece', 'ser', 'puede', 'ser', 'puente', 'entra', 'castillo', 'ahí', 'veo', 'unas', 'sombras', 'puede', 'ser', 'gente', 'entrando', 'ciudadela', 'así', 'están', 'agrupado', 'puede', 'ser', 'ejercito', 'volviendo', 'combate', 'un', 'ejercito', 'volviendo', 'combate', 'ciudadela']	['parec', 'ser', 'pued', 'ser', 'puent', 'entra', 'castill', 'ahi', 'veo', 'unas', 'sombr', 'pued', 'ser', 'gent', 'entrand', 'ciudadel', 'asi', 'estan', 'agrup', 'pued', 'ser', 'ejercit', 'volv', 'combat', 'un', 'ejercit', 'volv', 'combat', 'ciudadel']
Pues es un paisaje en el que parece haber animales y ya está. 	NoAlex	11	42.0	12.0	16.0	14.0	NoAlex-11	['Pues', 'es', 'un', 'paisaje', 'en', 'el', 'que', 'parece', 'haber', 'animales', 'y', 'ya', 'está']	['pues', 'paisaje', 'parece', 'haber', 'animales']	['pues', 'paisaj', 'parec', 'hab', 'animal']
Son unos granjeros que están en el momento del descanso, tomando el sol, después de haber comido en el campo. 	NoAlex	9VH	40.0	14.0	10.0	16.0	NoAlex-9VH	['Son', 'unos', 'granjeros', 'que', 'están', 'en', 'el', 'momento', 'del', 'descanso', 'tomando', 'el', 'sol', 'después', 'de', 'haber', 'comido', 'en', 'el', 'campo']	['son', 'granjeros', 'momento', 'descanso', 'tomando', 'sol', 'después', 'haber', 'comido', 'campo']	['son', 'granjer', 'moment', 'descans', 'tom', 'sol', 'despues', 'hab', 'com', 'camp']
