Text	AlexLabel	card	TAS20	F1	F2	F3	SubClass
Hay una mujer en la cama, que está semi-desnuda y un hombre que está llorándola. Parece que esta mujer tiene que haber cometido suicidio o algo porque está el hombre como muy afectado y está en la cama, o se la ha encontrado muerta, está fallecida.  	NoAlex	13HM	43.0	14.0	14.0	15.0	NoAlex-13HM
Es una cascada, que hemos llegado buscando un tesoro y es el último punto antes de llegar al tesoro. Detrás de la cascada está el tesoro pirata del capitán Barbarroja, que escondió allí con muchos lingotes de oro. 	NoAlex	11	41.0	13.0	12.0	16.0	NoAlex-11
Esto es una historia muy bonita porque se han ido por ahí a buscar un tesoro, se han perdido en la jungla y entonces han llegado a un lugar que hay una pared de piedras, y hay unas rocas que se han caído y en el fondo se ve algo como iluminado y es un tesoro que está brillante, pero tienen miedo de ir a por él, porque seguro que tiene truco esto y algo va a pasar, como en las películas. 	NoAlex	11	47.0	17.0	10.0	20.0	NoAlex-11
Son vaqueros que estaban ahí sacando las vacas y han dicho es la hora de la siesta, ¿no? Y se han apiñado todos debajo de un árbol y como son muy amigos se están apoyando unos en los otros. 	NoAlex	9VH	47.0	17.0	10.0	20.0	NoAlex-9VH
Ha sido una tarde muy calurosa y después de trabajar todo el día segando en los campos están muy cansados y han decidido descansar un rato para luego irse por ahí. 	NoAlex	9VH	41.0	13.0	12.0	16.0	NoAlex-9VH
Hay un grupo de trabajadores, que están un poco cansados de tener que mostrar ser machitos y entonces han decidido apoyarse los unos en los otros y darse mucho afecto en público. 	NoAlex	9VH	36.0	16.0	7.0	13.0	NoAlex-9VH
Hombres vestidos de campo que han estado segando y ahora es el mediodía y paran para echar la siesta porque hace mucho calor y están todos en un sitio como charlando y durmiendo a la sombra, muy tranquilos, descansando antes de volver a trabajar. 	NoAlex	9VH	29.0	12.0	6.0	11.0	NoAlex-9VH
Parece que están descansando, porque están unos apoyados en otros, porque tienen los gorros puestos deliberadamente sobre la cabeza, así que supongo que están bajo el sol un día de verano o algo así. Una serie de trabajadores que han estado trabajando y se han tumbado a descansar. 	NoAlex	9VH	43.0	14.0	14.0	15.0	NoAlex-9VH
Parece como una cascada, con unas rocas debajo y una urracas en medio, y es un día en el campo que unos pájaros se encontraron y se enamoraron en este precioso paisaje. 	NoAlex	11	42.0	14.0	11.0	17.0	NoAlex-11
Está la mujer dormida, su esposo se acaba de levantar, está pensando en lo tarde que es y que tiene que llegar rápido al trabajo.	NoAlex	13HM	42.0	12.0	16.0	14.0	NoAlex-13HM
Este niño está frustrado porque tiene demasiados deseos de tocar el violín, pero no le sale como él quisiera, entonces justamente está pensando en qué cosas tiene que hacer para poder mejorar. 	NoAlex	1	42.0	12.0	16.0	14.0	NoAlex-1
Es como un animal, que ha llegado como a la zona de un risco, donde hay una cascada también y está ahí tranquilamente pastando mientras piensa en la vida. 	NoAlex	11	42.0	12.0	16.0	14.0	NoAlex-11
Es gente que en una jornada laboral está descansando, pues es su rato de descanso, y nada, parece que están en el campo así que entiendo que están trabajando al aire libre, aunque estén bastantie bien vestidos. No me imagino qué pueden estar haciendo.  	Alex	9VH	55.0	20.0	18.0	17.0	Alex-9VH
Parece ser que puede ser como un puente que entra en un castillo, ahí veo unas sombras, puede ser gente que esté entrando a una ciudadela o algo así. Están agrupado, puede ser un ejercito volviendo de un combate. Un ejercito volviendo del combate a una ciudadela. 	Alex	11	55.0	20.0	18.0	17.0	Alex-11
Pues es un paisaje en el que parece haber animales y ya está. 	NoAlex	11	42.0	12.0	16.0	14.0	NoAlex-11
Son unos granjeros que están en el momento del descanso, tomando el sol, después de haber comido en el campo. 	NoAlex	9VH	40.0	14.0	10.0	16.0	NoAlex-9VH
Era un niño que miraba muy triste el violín, que le obligaba tocar, porque a él le hubiera gustado tocar otro instrumento, como la batería. 	Alex	1	54.0	18.0	20.0	16.0	Alex-1
Erase una vez un niño que quería tocar una guitarra pero le regalaron un violín	Alex	1	63.0	19.0	19.0	25.0	Alex-1
Estaba tumbado con sus amigos, viajando en un tren destino a lo desconocido	Alex	9VH	63.0	19.0	19.0	25.0	Alex-9VH
En su viaje en elefante tenía que cruzar una gran catarata. Fue lento y tortuoso, pero al final lo consiguió 	Alex	11	63.0	19.0	19.0	25.0	Alex-11
La acababa de conocer en una discoteca y habían pasado la noche juntos. Y ahí estaba ella, muerta por un ataque al corazón. Y el sin saber que hacer…	Alex	13HM	63.0	19.0	19.0	25.0	Alex-13HM
Érase una vez un niño llamado manolito, sus papás querían que fuera un gran violinista y aunque el era un niño muy aplicado por las tardes soñaba con bajar a la calle y jugar con otros niños a las canicas	NoAlex	1	31.0	12.0	5.0	14.0	NoAlex-1
Juan terminaba de trabajar y con los demás compañeros se recortaban al sol en la pradera, descansando y dejándose calentar por el sol de primavera y a veces soñaba con lo que haría cuando tuviera suficiente dinero tal vez un largo viaje, para conocer sitios nuevos pero en el fondo era un hombre tranquilo y realista y lo que apreciaba de todo eran esos pequeños momentos de quietud bajo el sol	NoAlex	9VH	31.0	12.0	5.0	14.0	NoAlex-9VH
En esa cueva el agua se filtraba discurriendo por las rocas y creando bellas cascadas que con la luz que se filtraba por pequeñas chimeneas naturales hacían que esas gotas de agua parecieran diamantes	NoAlex	11	31.0	12.0	5.0	14.0	NoAlex-11
Pedro era el único doctor de la comarca, cada día recorría los distintos pueblos intentando ayudar a sus habitantes. Pero en aquella ocasión no había podido, había luchado contra una enfermedad que había ganado la batalla, y a pesar de que durante toda la noche había luchado con denuedo finalmente se había llevado en sus garras a aquella mujer	NoAlex	13HM	31.0	12.0	5.0	14.0	NoAlex-13HM
Rápidamente, el niño, acude al estudio de sus padres, coloca el instrumento delicadamente sobre un paño encima de la mesa. Trata de pensar cómo podría arreglarlo, se siente frustrado por no tener una solución rápida. Finalmente, decide pedir ayuda a sus padres, los cuales le ayudan a solventarlo y recupera su violín.	NoAlex	1	35.0	13.0	9.0	13.0	NoAlex-1
Érase una vez un grupo de trabajadores que, tras la jornada de trabajo, deciden comer juntos y echarse una siesta para reponer fuerzas.	NoAlex	9VH	35.0	13.0	9.0	13.0	NoAlex-9VH
Érase una vez un senderista que decide hacer una ruta un domingo soleado. El camino comienza a complicarse por la pendiente de subida. Cansado, decide hacer una parada y disfrutar de la naturaleza. Se da cuenta de que finalizar la ruta no es lo relevante, sino disfrutar del paisaje. A su derecha observa el canto de unos pájaros, seguido de un río con su respectivo ruido relajante y, al fondo, la inmensidad del bosque y los altos árboles. 	NoAlex	11	35.0	13.0	9.0	13.0	NoAlex-11
Érase una vez una pareja. Ambos se encontraban durmiendo en su domicilio. A primera hora suena el despertador, él se tiene que despertar para ir a trabajar. Trata de no despertar a su pareja, se levanta sigilosamente, se viste, se frota los ojos del cansancio y sale camino del trabajo.  	NoAlex	13HM	35.0	13.0	9.0	13.0	NoAlex-13HM
un niño al que le gustaba mucho tocar el violín. Él era muy perfeccionista por lo que en más de una ocasión se frustraba cuando una partitura no lograba reproducirla con su adorado violín. Pedro, cómo así se llamaba el niño, logró sacar fuerzas y a base de esfuerzo perseverancia alcanzó reproducir toda clase de partituras. 	NoAlex	1	43.0	15.0	11.0	17.0	NoAlex-1
Después de un largo día de trabajo, llegó la plácida siesta. Mereció la pena aguantar un poco más y saborear ese delicioso cochinillo que con tanto cariño prepara mi tía Julieta.	NoAlex	9VH	43.0	15.0	11.0	17.0	NoAlex-9VH
Un sendero abrupto por el que Manuel y Alicia decidieron pasar para poder llegar a la hermosa cascada que quedaba cerca de la casa de sus primos.	NoAlex	11	43.0	15.0	11.0	17.0	NoAlex-11
El placer de tocar a una mujer estraña pronto se desvaneció al recordar a su amada Elena. No conseguía quitársela de la cabeza. Por más que buscaba distracciones. No lo consiguió hasta que decidió cambiar de vida y viajar hasta la India. Allí montó un complejo hotelero y conoció a Kira, una hermosa mujer.	NoAlex	13HM	43.0	15.0	11.0	17.0	NoAlex-13HM
Erase una vez un joven que tocaba el violín. Practicaba y practicaba pero no lograba mejorar, lo que lo frustraba mucho, porque su padre quería que fuese un gran violinista. Pero realmente, él no quería tocar el violín, no le gustaba	NoAlex	1	49.0	18.0	12.0	19.0	NoAlex-1
un hombre que trabajaba muy duro. Cada día, a la hora de comer, se echaba un rato a descansar, antes de seguir con sus labores.	NoAlex	9VH	49.0	18.0	12.0	19.0	NoAlex-9VH
una cascada encantada, que estaba escondida al final del bosque. Los niños iban siempre a jugar ahí, a pesar de que no tenían permiso de alejarse tanto.	NoAlex	11	49.0	18.0	12.0	19.0	NoAlex-11
un hombre que despertó, después de una larga noche de fiesta y borrachera, junto a una mujer desconocida. Al despertarse, se dio cuenta de que llegaba tarde al trabajo y se vistió lo más rápido que la resaca le permitió 	NoAlex	13HM	49.0	18.0	12.0	19.0	NoAlex-13HM
Un niño que se aburría mucho porque sus padres querían que aprendiese violin y no le gusta nada y además no se le da bien. Se siente muy frustrado	NoAlex	1	42.0	14.0	11.0	17.0	NoAlex-1
Un soldado que llevaba mucho tiempo fuera de casa y, cansado, pensaba en cómo sería volver a ver a su chica	NoAlex	9VH	42.0	14.0	11.0	17.0	NoAlex-9VH
Dos urracas que vivían en una cascada mágica, y la cuidaban para que nadie descubrirse el secreto que guardaba dentro 	NoAlex	11	42.0	14.0	11.0	17.0	NoAlex-11
Un hombre que tuvo que matar con mucha pena a su amante que estaba embarazada porque sino su mujer se enteraría, lo hace con mucha pena 	NoAlex	13HM	42.0	14.0	11.0	17.0	NoAlex-13HM
un niño que le gustaba mucho la música, en especial el violín. Después de unos años estudiando música, una mañana se levantó y se sentó en la mesa con el violín en ella y pensó: ¿Realmente es esto lo que quiero seguir haciendo?	NoAlex	1	34.0	14.0	7.0	13.0	NoAlex-1
un grupo de exploradores que iban a hacer un recorrido por una gran montaña pero se les hizo de noche y tuvieron que acampar todos juntos encima del césped. 	NoAlex	9VH	34.0	14.0	7.0	13.0	NoAlex-9VH
una cascada en mitad de la naturaleza, donde todos los animales, cuando se acercaba el buen tiempo, se dirigían para estar horas y horas allí, en ese sitio ten agradable.	NoAlex	11	34.0	14.0	7.0	13.0	NoAlex-11
una pareja que dormían en una habitación donde la cama era muy pequeña. Casi siempre dormían mal, pero no tenían dinero para pagarse otra casa con una cama más grande. El hombre se acaba de despertar para irse a trabajar y,  como va dormido tan mal, se encuentra restregándose la cara para intentar despejarse del sueño que tiene.	NoAlex	13HM	34.0	14.0	7.0	13.0	NoAlex-13HM
Érase una vez un niño que iba a clase de violin porque sus padres le obligaban, pero realmente no le gustaba, a él le gustaba dibujar y era muy buen dibujante.	NoAlex	1	36.0	16.0	10.0	10.0	NoAlex-1
Érase una vez un hombre que salió de juerga con sus amigos y cuando se despertó a la mañana siguiente estaba durmiendo a la intemperie rodeado de algunos de ellos.	NoAlex	9VH	36.0	16.0	10.0	10.0	NoAlex-9VH
Érase una vez una familia de pájaros que vivían en un rincón precioso del bosque inaccesible para los humanos. Había una cascada, vegetación y muchas rocas.	NoAlex	11	36.0	16.0	10.0	10.0	NoAlex-11
Había una vez un hombre, normal de cara al exterior, sin embargo era un asesino en serie que mataba a mujeres mientras dormían sin ningún tipo de remordimiento.	NoAlex	13HM	36.0	16.0	10.0	10.0	NoAlex-13HM
un niño músico, sentado y pensativo mirando a su violín.En busca de inspiración. 	Alex	1	54.0	17.0	17.0	20.0	Alex-1
un grupo de vaqueros tirados sobre la hierva, durmiendo. 	Alex	9VH	54.0	17.0	17.0	20.0	Alex-9VH
la ladera de una montaña, con algunas piedras sueltas....	Alex	11	54.0	17.0	17.0	20.0	Alex-11
un hombre y una mujer, puede que la mujer esté muerta y el hombre esté llorando…	Alex	13HM	54.0	17.0	17.0	20.0	Alex-13HM
Erase una vez un niño llamado Antonio que se aburría muchísimo en el colegio, hasta que aprendió que lo divertido es aprender siendo protagonista.	Alex	1	57.0	21.0	16.0	20.0	Alex-1
Erase una vez un jornalero que tras largas horas de trabajo dormía junto con sus compañeros en el campo.	Alex	9VH	57.0	21.0	16.0	20.0	Alex-9VH
Un precioso lugar donde se respiraba y paz y donde acudían la gente cuando querían desconectar de la vida diaria.	Alex	11	57.0	21.0	16.0	20.0	Alex-11
Un hombre que al llegar a casa encontró a su mujer fallecida en la cama.	Alex	13HM	57.0	21.0	16.0	20.0	Alex-13HM
un niño queriendo tocar el violín y se quedó pensando a quien le podía pedir ayuda para que le enseñara.	NoAlex	1	38.0	7.0	13.0	18.0	NoAlex-1
un grupo de cowboys que decidieron descansar en la hierba y comer todos juntos para continuar el viaje a lo largo del territorio de Texas.	NoAlex	9VH	38.0	7.0	13.0	18.0	NoAlex-9VH
un desprendimiento de rocas que casi alcanza al viajero del alba y su compinche. 	NoAlex	11	38.0	7.0	13.0	18.0	NoAlex-11
una joven enferma que no pudo más y aprovecho un instante para dejar este mundo mientras su marido fue a buscar las medicinas.	NoAlex	13HM	38.0	7.0	13.0	18.0	NoAlex-13HM
un niño llamado Pablo al que le habían regalado un precioso violín por su cumpleaños, pero cuando se puso a tocarlo, como no sabía, se le rompió una cuerda y se puso muy triste. Menos mal que su padre sabía y se la arregló rápido.	NoAlex	1	41.0	13.0	12.0	16.0	NoAlex-1
Tras pasar todo el día segando los campos de trigo bajo el sol y con un calor agotador, el grupo de trabajadores aprovechó el momento de después de comer para echarse una siesta reconfortante.	NoAlex	9VH	41.0	13.0	12.0	16.0	NoAlex-9VH
Tras un viaje lleno de aventuras y dificultades, por fin llegaron a la cascada tras la que se escondía el tesoro ansiado, finalmente habían encontrado el escondite del Tesoro de Barbanegra.	NoAlex	11	41.0	13.0	12.0	16.0	NoAlex-11
Por más que intentó salvarla, el doctor no pudo hacer nada por la pobre Luci, que murió en su cama tras horas de fallidos intentos de recuperar su corazón.	NoAlex	13HM	41.0	13.0	12.0	16.0	NoAlex-13HM
Es un momento para la lectura o estudio que me recuerda a mi epoca estufiantil de mi infancia. 	NoAlex	1	29.0	8.0	6.0	15.0	NoAlex-1
Tras una gran caminata nis relajamos debajo de la sombra de un gran árbol.	NoAlex	9VH	29.0	8.0	6.0	15.0	NoAlex-9VH
Me recuerda al paisaje donde yo vivo, esos barrancos llenos de agua glaciar tras el deshielo, tipico de la primavera en el Pirineo.	NoAlex	11	29.0	8.0	6.0	15.0	NoAlex-11
Imagen que me recuerda la despedida de un ser querido.	NoAlex	13HM	29.0	8.0	6.0	15.0	NoAlex-13HM
Érase una vez un niño que tras horas de práctica infructuosas con su violín estuvo a punto de abandonar sus estudios. Pero en lugar de ello tras dejarlo reposar sobre la mesa al explorar su estructura, materiales y funcionamiento supo encontrar como transformar la frustración que estaba sintiendo en un camino de aprendizaje interactivo con su instrumento, compañero de nuevas aventuras llenas de asombro.	NoAlex	1	44.0	14.0	12.0	18.0	NoAlex-1
Tras la dura tarea de recoger las uvas en el viñedo, los muchachos se echaron una siesta en el prado mientras hablaban y fantaseaban sobre sus enamoradas y las proximas fiestas del pueblo.La tarde transcurrió apacible y al bajar la solana volvieron a su trabajo con ilusión de cumplir sus sueños en un futuro cercano.	NoAlex	9VH	44.0	14.0	12.0	18.0	NoAlex-9VH
La búsqueda no había resultado infrucuosa, el sonido y la sensación de humedad creciente que había percibido en el aire no lo habían engañado; ahí estaba frente a el ese manantial que surgía a borbotones desde la pared del escarpado desfiladero. Supo entonces que podría saciar su sed y continuar adelante.	NoAlex	11	44.0	14.0	12.0	18.0	NoAlex-11
La desesperación se apoderó de él, comprendió que todas las señales que ella le había dado sobre su desencanto con la vida eran la antesala de un suicidio premeditado que no vio venir; no pudo llegar a tiempo para salvarla.	NoAlex	13HM	44.0	14.0	12.0	18.0	NoAlex-13HM
Un niño que debia empezar a practicar para su clase de violin, pero  no esta a seguro de querer hacerlo ni siquiera dé que le guste ese instrumento. 	NoAlex	1	47.0	14.0	13.0	20.0	NoAlex-1
un grupo de amigos descansando antes de volver al trabajo.	NoAlex	9VH	47.0	14.0	13.0	20.0	NoAlex-9VH
la aventura, el  campo, la naturaleza, descubrir, oler, sentir el sol que cae sobre la piel  y disfrutar.	NoAlex	11	47.0	14.0	13.0	20.0	NoAlex-11
un hombre que quisiéra seguir compartiendo el lécho con su esposa, pero uff ni modo, hay que ir a trabajar.	NoAlex	13HM	47.0	14.0	13.0	20.0	NoAlex-13HM
Un niño que estaba imaginando como convertise en un gran violinista. Con esfuerzo y mucho estudio llegaría a ser un gran músico 	Alex	1	69.0	22.0	20.0	27.0	Alex-1
un grupo de personas que estaban descansando después de realizar un gran esfuerzo levantando una iglesia todos juntos.	Alex	9VH	69.0	22.0	20.0	27.0	Alex-9VH
Érase una vez...un frondoso y mágico bosque lleno de animales fantásticos, plantas originales y cascadas nunca vistas. 	Alex	11	69.0	22.0	20.0	27.0	Alex-11
un hombre que acababa de encontrar muerta a su mujer.no podía encontrar el consuelo de esa pérdida. 	Alex	13HM	69.0	22.0	20.0	27.0	Alex-13HM
 un niño al que sus padres de clase acomodada le dijeron que tenía que aprender a tocar el violín y el niño lo odiaba.	Alex	1	72.0	26.0	22.0	24.0	Alex-1
unos tíos que se fueron de juerga y ahora están durmiendo la mona.	Alex	9VH	72.0	26.0	22.0	24.0	Alex-9VH
Érase una vez... unos caballeros que volvían de jugar a Cruzadas cuando un dragón les atacó camino de casa... (no se aprecia bien la zona alrededor del puente)	Alex	11	72.0	26.0	22.0	24.0	Alex-11
un hombre que mata a su amante porque ella le amenazó con contárselo a su mujer si este no se iba con ella.	Alex	13HM	72.0	26.0	22.0	24.0	Alex-13HM
Un niño que quería estudiar violín pero le obligaban a estudiar una carrera con más salidas.	NoAlex	1	39.0	11.0	5.0	23.0	NoAlex-1
Un grupo de hombres homosexuales felices en un mundo sin homofobia 	NoAlex	9VH	39.0	11.0	5.0	23.0	NoAlex-9VH
Una selva llena de playas e insectos de todos los colores y tamaños.	NoAlex	11	39.0	11.0	5.0	23.0	NoAlex-11
La muerte de la amada 	NoAlex	13HM	39.0	11.0	5.0	23.0	NoAlex-13HM
Érase una vez un niño al que su padre músico le había regalado un violín. Pero este niño no quería ser músico, le gustaban más las matemáticas. El niño se encuentra triste porque tiene que ponerse a practicar, pero no le apetece.	Alex	1	55.0	20.0	18.0	17.0	Alex-1
Érase una vez un grupo de mafiosos descansa en el césped después de haber uído tras uno de sus golpes. Se encuentran ya lejos de la ciudad donde han cometido el delito y por eso están tranquilos desansando mientras uno de ellos hace guardia.	Alex	9VH	55.0	20.0	18.0	17.0	Alex-9VH
Érase una vez un assalto a un castillo. Un grupo de guerreros lleva un ariete para romper la puerta del castillo que ya ha sido dañado anteriormente por las catapultas.	Alex	11	55.0	20.0	18.0	17.0	Alex-11
Érase una vez un hombre que mató a su amante en un impulso porque esta le amenazó con contarlo todo si no hablaba con su familia. El hombre la mata a golpes en un impulso agresivo y ahora está desesperado porque no sabe como salir de esa situación.	Alex	13HM	55.0	20.0	18.0	17.0	Alex-13HM
Un niño cuyo padre le regaló un violín, cuando él lo que quería era un balón de fútbol. Encima, como no tenía acceso a YouTube, tenía que aprender leyendo un libro muy aburrido, porque el padre tampoco sabía tocar el violín y no tenían dinero para pagarle las clases. El niño nunca aprendió a tocar el violín, pero acabó jugando en el Atlético de Madrid.	NoAlex	1	35.0	8.0	10.0	17.0	NoAlex-1
Cuatro colegas que pusieron una plantación en una huerta y trabajaban fuerte para sacarla adelante. A mediodía se comían unos buenos bocatas y una fruta y se echaban una buena siesta a la sombra de sus frutales.	NoAlex	9VH	35.0	8.0	10.0	17.0	NoAlex-9VH
2 jóvenes aventureros querían recuperar el tesoro escondido en la cueva del Dragón Chimpón, de cuya leyenda se contaban muchas historias en su pueblo. Cogieron unas mochilas, comida, sacos de dormir, se armaron con espadas y arcos y tras varias semanas de viaje, llegaron a la cueva del dragón. Allí, descubrieron el tesoro e intentaron hacerse con él sigilosamente, pero despertaron al dragón. Intentaron huir con parte del botín, corriendo rápidamente, pero el dragón salió detrás de ellos. Al dragón le daban ardor de estómago los humanos. Estuvo varios días malo del estómago. Los aventureros pasaron a la historia como los ardores de estómago de Chimpón.	NoAlex	11	35.0	8.0	10.0	17.0	NoAlex-11
Vaya resaca más mala! Anoche el Rubius se bebió hasta el jarabe de la tos. Todo le salió rodado, bailaba con las chicas más guapas, era el alma del karaoke, todo el mundo quería compadrear con él. O eso pensaba él, bajo los efectos del ron. Hasta ligó con una chica y se fue a la cama con ella. Fue el rey del mundo! Pero ay, pobre de él a la mañana siguiente...¡qué dolor de cabeza! ¡Qué ganas de vomitar! Y esta chica era más guapa anoche con 5 copas de ron...El Rubius jura y perjura que no volverá a beber. Volvió a emborracharse la noche siguiente.	NoAlex	13HM	35.0	8.0	10.0	17.0	NoAlex-13HM
un violín q no quería sonar y Carlitos q confiaba en él y sabía q sus cuerdas robustas pero suaves, tensas y firmes sólo necesitaban q una persona les diera el cariño y el amor suficiente para q empezara a emitir algunas notas. Hoy Carlitos como todas las mañanas se quedó mirándole y esperando q confiara en él para poder empezar a acariciar sus cuerdas y su mástil con todo el amor q Carlos tenía en su interior.	NoAlex	1	41.0	13.0	10.0	18.0	NoAlex-1
un día de campo de q pasamos Todos mis amigos y sus padres, fue lo q los mayores llamarían ... un día de hombres !!!!!! Jajaja q ilusión nos hizo ..... lo mejor de todo fue la organización y la ilusión de prepararlo, disfrutar del camino es lo importante	NoAlex	9VH	41.0	13.0	10.0	18.0	NoAlex-9VH
 un día en q nos decidimos a aventurarnos en un viaje a el interior de la naturaleza.... para encontrar La Paz y la turbulencia de una cascada pero no por eso menos bella.	NoAlex	11	41.0	13.0	10.0	18.0	NoAlex-11
la historia de un hombre enamorado de sí mismo y aunque enamoraba a las mujeres solo por diversión , jamás pensó q un día podría querer tanto a una,  como para sufrir por su pérdida. Hoy es el día q Ángels me dejó y ahora no quiero ver mi futuro sin ella. 	NoAlex	13HM	41.0	13.0	10.0	18.0	NoAlex-13HM
Un niño muy aburrido	NoAlex	1	43.0	14.0	14.0	15.0	NoAlex-1
Unos amigos que descansaban después de trabajar	NoAlex	9VH	43.0	14.0	14.0	15.0	NoAlex-9VH
un camino cortado porque la montaña se cayó. 	NoAlex	11	43.0	14.0	14.0	15.0	NoAlex-11
Un hombre que encontró a su mujer muerta 	NoAlex	13HM	43.0	14.0	14.0	15.0	NoAlex-13HM
Un niño al que le obligaban a tocar un instrumento, cuando en realidad quería salir a jugar.	NoAlex	1	36.0	15.0	8.0	7.0	NoAlex-1
Un grupo de exploradores que decidieron acampar en mitad del camino.	NoAlex	9VH	36.0	15.0	8.0	7.0	NoAlex-9VH
Un camino en mitad del bosque que te lleva al mejor mirador del mundo.	NoAlex	11	36.0	15.0	8.0	7.0	NoAlex-11
Un hombre que encuentra a su mujer muerta, se había suicidado. Él se siente culpable por no haber pasado el suficiente tiempo con ella.	NoAlex	13HM	36.0	15.0	8.0	7.0	NoAlex-13HM
un niño que su único amigo era un violín. Muchas vezes compartia con el tristezas, y las contestaciones eran en forma de canción, transmutando asi su dolor en arte. También compartía alegrías que comemoradas con música hacían con que un día vulgar les parecerá una fiesta. Era una amistad real y duradera! 	Alex	1	54.0	19.0	16.0	19.0	Alex-1
un grupo de amigos que les gustaban las aventuras. Se juntaban y salían para conocer los campos y no les importaban donde dormir, siempre y cuando estuvieron juntos !	Alex	9VH	54.0	19.0	16.0	19.0	Alex-9VH
un bosque que siempre aparecía en mis pesadillas.  Era oscura y no podía saber bien lo que tenía por delante, eran árboles que parecía tener cara, caminos que desaparecían 	Alex	11	54.0	19.0	16.0	19.0	Alex-11
una pareja que cuando el marido se iba a trabajar su esposa si quedaba dormida y el le costaba mucho abrir los ojos . 	Alex	13HM	54.0	19.0	16.0	19.0	Alex-13HM
Un objeto tonto e inútil que no sirve de nada,solo para molestar y quitarme tiempo. Yo,lo que quiero realmente hacer son malabares,y trabajar en un circo!	NoAlex	1	44.0	14.0	15.0	15.0	NoAlex-1
Unos hombres cansados de tanto campo,de madrugar y descansar poco,de tanto sol y poca comida.	NoAlex	9VH	44.0	14.0	15.0	15.0	NoAlex-9VH
Una cascada escondida en plena sierra,y un camino peligroso que conducía a ella. Era la única forma de atravesar el puente hacia el otro lado del río.	NoAlex	11	44.0	14.0	15.0	15.0	NoAlex-11
Un arrepentimiento,una tortura y un dolor del que no iba a poder escapar jamás.	NoAlex	13HM	44.0	14.0	15.0	15.0	NoAlex-13HM
Dejó el violín encima de la mesa y posó su mirada sobre él. Sentía una mezcla de desprecio y misterio.	Alex	1	60.0	22.0	18.0	20.0	Alex-1
Eran las 15h. Habían trabajado duramente durante toda la mañana. Esperaban el viaje de vuelta a sus casas mientras descansaban plácidamente.	Alex	9VH	60.0	22.0	18.0	20.0	Alex-9VH
Para llegar al interior de la cueva había que atravesar un estrecho puente. Allí a lo alto, se veía una hilera de gente entrando en la oquedad de la roca. Pero, ¿sabían a donde iban realmente?	Alex	11	60.0	22.0	18.0	20.0	Alex-11
Se levantó y se vistió. A su lado ella seguía durmiendo. Tenían el tiempo justo para coger el avión. Para cuándo ella se despertara él ya estaría volando. No se verían más.	Alex	13HM	60.0	22.0	18.0	20.0	Alex-13HM
