code;card;hum;mode;time;G-score;G-magnitude;Azure-TA;Text;Text-EN
4509cf6e9d9a624a3a809bf96cfbdbd7;3VH;1;T;200000;0;1,6;0,07;Le obligan a tocar el violín y no le gusta, está aburrido, se duerme. Pero es que tiene un gesto un poco preocupante. ;They force him to play the violin and he does not like it, he is bored, he falls asleep. But he has a little worrying face expression.
4509cf6e9d9a624a3a809bf96cfbdbd7;3VH;1;T;200000;-0,4;0,9;0,17;Un niño que a lo mejor está abandonado por sus padres, al que le cargan de un montón de tareas, está cansado, hace lo que puede, no está feliz. ;A child who is perhaps abandoned by his parents, who is loaded with a lot of tasks, is tired, he does what he can, he is not happy.
4509cf6e9d9a624a3a809bf96cfbdbd7;7VH;2;T;200000;0,3;0,6;0,6;Parece que están atendiendo a algo, podría ser una conferencia y están haciendo comentarios entre ellos. Este está muy atento, aunque también tiene ojos un poco de… ;It seems that they are attending to something, it could be a conference and they are making comments among themselves. This one is paying close attention, although he also has his eyes a little bit ...
4509cf6e9d9a624a3a809bf96cfbdbd7;12VN;0;T;200000;0,2;0,2;0,16;Es un poquito abandonado y triste, pero bueno puede ser un buen sitio para una acampada. ;It is a little abandoned and sad, but it may be a good place for a camping trip.
efb2088a8ab28dc16c158813ae396ec8;13HM;2;T;200000;-0,3;0,6;0,09;Me da sensación de que le ha pasado algo y que el hombre está disgustado, está llorando. Está tapandose los ojos porque está llorando;It gives me a feeling that something has happened to him and that the man is disgusted, he is crying. He is covering her eyes because she is crying
efb2088a8ab28dc16c158813ae396ec8;13V;1;T;200000;0;0,1;0,46;Pues esto es un niño que está tomando el sol y está esperando porque no hay niños alrededor. Está solo. Entonces está pensando a qué va a jugar;Well this is a child who is sunbathing and is waiting because there are no children around. He is alone. Then he is thinking about what he is going to play
efb2088a8ab28dc16c158813ae396ec8;10;2;T;200000;0,2;0,4;0,48;Es una mujer que está besando el pecho a su marido como muestra de cariño. Le está abrazando y es un momento de cariño. ;She is a woman who is kissing her husband's chest as a sign of affection. He is embracing him and it is a moment of affection.
efb2088a8ab28dc16c158813ae396ec8;9BM;4;T;200000;-0,1;0,6;0,39;Unos cazadores que están en el campo y están descansado para la siguiente caza. Es un día soleado y se van a echar una siesta para salir después. ;Some hunters who are in the field and are resting for the next hunt. It is a sunny day and they are going to take a nap and leave later.
efb2088a8ab28dc16c158813ae396ec8;11;0;T;200000;0,1;0,1;0,45;Hay unos dragones que acaban de aterrizar en una cueva y están preparados para saltar por el precipicio. ;There are dragons that have just landed in a cave and are ready to jump off the cliff.
29d3a4409792f6a28f9eefbdd7ebcd37;11;0;T;200000;0,1;0,7;0,52;Esto es en la época de los dinosaurios. Esto es un puente y aquí hay un precipicio y están pasando caballeros porque quieren subir las paredes del castillo. Y desde arriba están echando agua hirviendo. ;This is in the time of the dinosaurs. This is a bridge and here there is a precipice and gentlemen are passing by because they want to climb the walls of the castle. And from above they are throwing boilign water.
29d3a4409792f6a28f9eefbdd7ebcd37;7VH;2;T;200000;0;0;0,71;Son dos señores viendo la tele, que están viendo las noticias, viendo los resultados electorales, ;They are two gentlemen watching TV, who are watching the news, watching the election results,
29d3a4409792f6a28f9eefbdd7ebcd37;3VH;1;T;200000;-0,8;0,8;0;Esto es una señora que le acaban de dar una mala noticia por teléfono y está muy triste. ;This is a lady who has just been given bad news over the phone and is very sad.
29d3a4409792f6a28f9eefbdd7ebcd37;9VH;4;T;200000;0;0,4;0,59;Son unos señores que estaban trabajando en el campo arando y es la hora de la comida, han comido y se están echando una siesta. ;They are gentlemen who were working in the field plowing and it is time for lunch, they have eaten and they are taking a nap.
1f7e8a316c948d5ff7ae4e50e0630437;1;1;T;200000;-0,1;0,9;0,15;La frustración de aprender un nuevo instrumento cuando no tiene talento musical. Estudiarlo en vez de practicarlo puede ser un rollo. ;The frustration of learning a new instrument when he has no musical talent. Studying it instead of practicing can be a pain.
1f7e8a316c948d5ff7ae4e50e0630437;13HM;2;T;200000;-0,3;0,6;0,34;Es una pareja y el hombre se encuentra arrepentido por algo que ha pasado y culpable, por algo que no tiene el control. El algún momento ha habido algo  complicado porque se está tapando la cara y la habitación es algo muy antiguo, pero está con corbata y no en pijama así que probablemente se ha encontrado algo que no quería ver. ;It is a couple and the man is repentant for something that has happened and guilty, for something that is not in control. At some point there has been something complicated because he is covering his face and the room is something very old, but he is wearing a tie and not in his pajamas, so he probably has found something he did not want to see.
1f7e8a316c948d5ff7ae4e50e0630437;13V;1;T;200000;0;0,6;0,51;A mí me recuerda a los chavales cuando no sabían a qué jugar, hacer un instrumento con las manos para que suene como una especie de flauta con las manos así. Me llama la atención que el niño sale fuera por la oscuridad que hay dentro. Es una casa que no tiene luz, entonces pues él, todos salimos a tomar el fresco, pero en esta casa parece que hay una oscuridad muy grande. ;It reminds me of the kids when they did not know what to play, to make an instrument with their hands so that it sounds like a kind of flute with their hands like that. It strikes me that the child goes outside because of the darkness inside. It is a house that has no light, so then, we all go out to take the cool, but in this house there seems to be a very big darkness.
1f7e8a316c948d5ff7ae4e50e0630437;12VN;0;T;200000;-0,5;0,5;0,24;Estragos de la sequía, ya que donde antes había un lago ahora sólo se ve toda la tierra y deja atrás objetos inservibles como podría ser una barca en medio de un bosque. ;Ravages of the drought, because where there was once a lake now you can only see the whole earth and leave behind useless objects like a boat in the middle of a forest.
c2c1f499a1f3099f965c62ce27b22160;13N;1;T;200000;0;0,5;0,34;Había una vez una mujer que vivía sola, pero cuidaba de todo el vencindario. Un día oyó ruido en la escalera, salió corriendo y vio que había un niño en el rellano, que estaba intentando trepar la escalera y se había hecho daño. Fue corriendo a ayudarle y le llevó a su casa, le dio de comer y todo eso. ;There was once a woman who lived alone, but took care of the entire neighborhood. One day he heard a noise on the stairs, ran away and saw that there was a child on the landing, who was trying to climb the ladder and had hurt himself. He ran to help him and took him to his house, gave him food and all that.
c2c1f499a1f3099f965c62ce27b22160;1;1;T;200000;-0,4;0,9;0,45;Hay un niño cuyos padres le han oblidado a tocar el violín, y aunque él lo hace a veces se siente muy frustrado porque no sabe hasta qué punto quiere dedicar su vida la música y está pensando que a lo mejor su vida debe encaminarse hacia otro lado, hacer otros tipos de música que no incluyan el clásico, pero sus padres no le hacen caso. ;There is a child whose parents have obliged him to play the violin, and although he does sometimes feels very frustrated because he does not know to what extent he wants to dedicate his life to music and is thinking that maybe his life should go the other way , make other types of music that do not include the classic, but their parents do not pay attention to it.
c2c1f499a1f3099f965c62ce27b22160;11;0;T;200000;0,4;0,8;0,69;Un día me propuse cruzar la montaña, subí a lo más alto de la montaña y vi una cascada y de repente vi un arco y un peregrino andante que estaba por ahí y dije por fin he llegado a mi meta, voy a descansar. ;One day I decided to cross the mountain, climbed to the top of the mountain and saw a waterfall and suddenly I saw an arch and a walking pilgrim that was out there and I finally said I have reached my goal, I am going to rest.
e2670eda3bb416a1c1281713abc688c7;11;0;T;200000;0,1;0,8;0,69;Yo veo como unos gorriones que se han posado en la ladera de una montaña y están descansando en medio de un viaje. Y en la montaña ha habido derrumbamientos, pero no pasa nada. Y están pues tranquilos, reposando sin más. ;I see how some sparrows have perched on the side of a mountain and are resting in the middle of a trip. And in the mountains there have been landslides, but nothing happens. And they are calm, resting without further ado.
e2670eda3bb416a1c1281713abc688c7;1;1;T;200000;-0,3;0,7;0,22;Pues lo que veo es un niño que está harto de tocar el violín, que le obligan, y es que está desesperado porque no le gusta nada, y está pues pensando cómo hacer para dejarlo. ;Well, what I see is a boy who is tired of playing the violin, who is forced, and is desperate because he does not like anything, and is therefore thinking how to do it.
e2670eda3bb416a1c1281713abc688c7;18NM;2;T;200000;-0,2;0,7;0,23;Dos mujeres, puede que sea su madre, pero no estoy seguro. Una está enferma, está medio desmayada, y la mujer la mira con tristeza porque está preocupada y ella está cayéndose y desmayándose, probablemente porque está enferma. ;Two women, it may be his mother, but I'm not sure. One is sick, half fainted, and the woman looks at her sadly because she is worried and she is falling and fainting, probably because she is sick.
0e5421ba26b1f23f62d8393bf4ffd526;13N;1;T;200000;0,3;0,6;0,42;Es una señora que está haciendo parte del servicio, está subiendo al piso superior de la casa, que parece una mansión, como para hacer las tareas del hogar en el piso superior. ;It is a lady who is doing part of the service, is going up to the top floor of the house, which looks like a mansion, as to do the housework on the top floor.
0e5421ba26b1f23f62d8393bf4ffd526;13HM;2;T;200000;0;0,5;0,36;Hay una mujer en la cama, que está semi-desnuda y un hombre que está llorándola. Parece que esta mujer tiene que haber cometido suicidio o algo porque está el hombre como muy afectado y está en la cama, o se la ha encontrado muerta, está fallecida.  ;There is a woman in bed, who is semi-naked and a man who is crying. It seems that this woman must have committed suicide or something because the man is very affected and is in bed, or has been found dead, is dead.
0e5421ba26b1f23f62d8393bf4ffd526;12VN;0;T;200000;0;0,9;0,56;Parece que alguien ha estado pescando. Ha terminado de pescar y ha dejado la barca aparcada con los aparejos, se ha ido a buscar algo, y mientras tanto pues es una escena muy bucólica con un árbol y una barca. ;It seems that someone has been fishing. He has finished fishing and has left the boat parked with the gear, he has gone to look for something, and meanwhile it is a very bucolic scene with a tree and a boat.
28c8077263a82f72c525546ff0ddd3e5;3VH;1;T;200000;-0,3;0,7;0,24;Le acaban de dar una noticia muy mala porque le han dicho que su hijo se ha caído por la escalera y está sufriendo muchísimo y le da muchísima pena. ;They have just given him a very bad news because they have told him that his son has fallen down the stairs and is suffering a lot and he is very sorry.
28c8077263a82f72c525546ff0ddd3e5;10;2;T;200000;0,3;1;0,57;La señora que se le ha caído el niño por la escalera antes, resulta que ha ido al hospital y parece ser que las heridas no eran tan graves y el niño está estupendamente, así que le ha abrazado y le da muchos besos porque le quiere mucho. ;The lady who has dropped the child down the stairs before, it turns out that she has gone to the hospital and it seems that the injuries were not so serious and the child is very well, so she has embraced him and gives him many kisses because he loves her so much .
28c8077263a82f72c525546ff0ddd3e5;11;0;T;200000;0,8;1,7;0,77;Es una cascada, que hemos llegado buscando un tesoro y es el último punto antes de llegar al tesoro. Detrás de la cascada está el tesoro pirata del capitán Barbarroja, que escondió allí con muchos lingotes de oro. ;It is a waterfall, we have arrived looking for a treasure and it is the last point before reaching the treasure. Behind the waterfall is the pirate treasure of Captain Barbarossa, who hid there with many gold ingots.
72a0db82452f226266fed2362cbd67cd;13V;1;T;200000;-0,4;0,4;0,2;Estoy viendo a un niño que está triste mirando el horizonte porque han venido los vaqueros y han matado a toda su familia;I am seeing a child who is sad looking at the horizon because the cowboys have come and killed their entire family
72a0db82452f226266fed2362cbd67cd;7VH;2;T;200000;-0,2;2;0,47;Hay un hombre que le ha pasado algo, está medio cabreado. Yo creo que le han ido mal los negocios a este hombre. Y hay otro hombre mayor que está mirando con cara de sabiduría como si le fuese a dar consejo sobre la vida. Y le dice no te amargues hombre. ;There is a man who has suffered something, he is half pissed off. I think business has gone wrong for this man. And there is another older man who is looking with a face of wisdom as if he were going to give him advice about life. And he says do not be bitter man.
72a0db82452f226266fed2362cbd67cd;11;0;T;200000;0,5;1,1;0,48;Esto es una historia muy bonita porque se han ido por ahí a buscar un tesoro, se han perdido en la jungla y entonces han llegado a un lugar que hay una pared de piedras, y hay unas rocas que se han caído y en el fondo se ve algo como iluminado y es un tesoro que está brillante, pero tienen miedo de ir a por él, porque seguro que tiene truco esto y algo va a pasar, como en las películas. ;This is a very beautiful story because they have gone there to look for a treasure, they have been lost in the jungle and then they have reached a place where there is a wall of stones, and there are some rocks that have fallen and in the background they he sees something as enlightened and it is a treasure that is brilliant, but they are afraid to go for it, because he sure has this trick and something will happen, like in the movies.
72a0db82452f226266fed2362cbd67cd;9VH;4;T;200000;-0,1;0,4;0,57;Son vaqueros que estaban ahí sacando las vacas y han dicho es la hora de la siesta, ¿no? Y se han apiñado todos debajo de un árbol y como son muy amigos se están apoyando unos en los otros. ;They are cowboys who were there taking out the cows and they said it's nap time, right? And they have huddled under a tree and as they are very close friends, they are supporting each other in the
28c8077263a82f72c525546ff0ddd3e5;9VH;4;T;200000;0,2;0,6;0,59;Ha sido una tarde muy calurosa y después de trabajar todo el día segando en los campos están muy cansados y han decidido descansar un rato para luego irse por ahí. ;It was a very hot afternoon and after working all day mowing in the fields they are very tired and have decided to rest a while and then go out there.
c2c1f499a1f3099f965c62ce27b22160;9VH;4;T;200000;0,5;0,5;0,66;Hay un grupo de trabajadores, que están un poco cansados de tener que mostrar ser machitos y entonces han decidido apoyarse los unos en los otros y darse mucho afecto en público. ;There is a group of workers, who are a little tired of having to show they are macho and then have decided to support each other and give each other a lot of affection in public.
e2670eda3bb416a1c1281713abc688c7;9VH;4;T;200000;-0,2;0,4;0,48;Hombres vestidos de campo que han estado segando y ahora es el mediodía y paran para echar la siesta porque hace mucho calor y están todos en un sitio como charlando y durmiendo a la sombra, muy tranquilos, descansando antes de volver a trabajar. ;Field dressed men who have been mowing and now it is noon and stop to take a nap because it is very hot and they are all in one place like chatting and sleeping in the shade, very calm, resting before returning to work.
0e5421ba26b1f23f62d8393bf4ffd526;9VH;4;T;200000;-0,1;0,3;0,51;Parece que están descansando, porque están unos apoyados en otros, porque tienen los gorros puestos deliberadamente sobre la cabeza, así que supongo que están bajo el sol un día de verano o algo así. Una serie de trabajadores que han estado trabajando y se han tumbado a descansar. ;It seems that they are resting, because they are supported by others, because they have their hats deliberately placed on their heads, so I suppose they are under the sun one summer day or something like that. A series of workers who have been working and have laid down to rest.
1384903a9d83e20ccd863fe23876e919;7VH;2;T;200000;-0,6;1,3;0,3;Creo que es un padre y un hijo, el padre está mirando decepcionado al hijo, el hijo creo que ha hecho algo malo. Es un empresario importante, pero está haciendo cosas mal y el padre está decepcionado por cómo ha criado a su hijo y lo mira con disgusto. ;I think it's a father and a son, the father is looking at the son disappointed, the son I think has done something wrong. He is an important businessman, but he is doing bad things and the father is disappointed by how he has raised his son and looks at him with disgust.
1384903a9d83e20ccd863fe23876e919;11;0;T;200000;0,7;1,5;0,72;Parece como una cascada, con unas rocas debajo y una urracas en medio, y es un día en el campo que unos pájaros se encontraron y se enamoraron en este precioso paisaje. ;It looks like a waterfall, with rocks underneath and a magpie in the middle, and it is a day in the field that some birds met and fell in love in this beautiful landscape.
1384903a9d83e20ccd863fe23876e919;13V;1;T;200000;-0,2;0,4;0,22;Es un niño que está solo porque ha habido un incendio en la casa, sus padres han fallecido y no sabe qué hacer, no sabe a quien pedir ayuda y está solo en el mundo. ;He is a child who is alone because there has been a fire in the house, his parents have passed away and he does not know what to do, he does not know who to ask for help and he is alone in the world.
77c5a167a80e1953cd0ad9c29b036331;12VN;0;T;200000;0,2;0,6;0,56;Esto es una canoa de unas personas que han ido a descubrir un lugar. Son exploradores, y es un lugar sobre los indios, tipo la Cabaña del Tio Tom de Mark Twain, me parece eso, unos exploradores. ;This is a canoe of some people who have gone to discover a place. They are explorers, and it's a place about the Indians, like Tio Tom's Cabin by Mark Twain, it seems to me, explorers.
77c5a167a80e1953cd0ad9c29b036331;10;2;T;200000;0,7;0,7;0,75;Esto es una madre con su hijo, que le está dando un abrazo muy cariñoso, y el hijo le está contando lo que le preocupa. ;This is a mother with her son, who is giving him a very affectionate hug, and the son is telling him what worries him.
77c5a167a80e1953cd0ad9c29b036331;13N;1;T;200000;0,5;1,1;0,48;Esto es un señor que va a un faro porque le gusta mucho el mar y se ocupa del tráfico marítimo y además está ahí viendo cómo pasan los barcos y esas cosas. ;This is a man who goes to a lighthouse because he likes the sea a lot and deals with maritime traffic and he is also there watching how the ships and those things go by.
d1bbd6a3059b704e375e79a61cb97f4a;13HM;2;T;200000;0,3;0,6;0,46;Está la mujer dormida, su esposo se acaba de levantar, está pensando en lo tarde que es y que tiene que llegar rápido al trabajo.;The woman is asleep, her husband has just got up, he is thinking about how late he is and that he has to get to work quickly.
d1bbd6a3059b704e375e79a61cb97f4a;1;1;T;200000;-0,3;0,7;0,19;Este niño está frustrado porque tiene demasiados deseos de tocar el violín, pero no le sale como él quisiera, entonces justamente está pensando en qué cosas tiene que hacer para poder mejorar. ;This child is frustrated because he has too many wishes to play the violin, but it does not turn out the way he wants, so he is just thinking about what he has to do in order to improve.
d1bbd6a3059b704e375e79a61cb97f4a;11;0;T;200000;0,7;1,4;0,66;Es como un animal, que ha llegado como a la zona de un risco, donde hay una cascada también y está ahí tranquilamente pastando mientras piensa en la vida. ;It's like an animal, which has reached the area of a cliff, where there is a waterfall too and is there quietly grazing while thinking about life.
581800d76e962da7850f9ef1804b202c;9VH;4;T;200000;-0,3;0,7;0,66;Es gente que en una jornada laboral está descansando, pues es su rato de descanso, y nada, parece que están en el campo así que entiendo que están trabajando al aire libre, aunque estén bastantie bien vestidos. No me imagino qué pueden estar haciendo.  ;They are people who are resting in a working day, it is their resting time, and nothing, it seems that they are in the field so I understand that they are working outdoors, even if they are quite well dressed. I can not imagine what they may be doing.
581800d76e962da7850f9ef1804b202c;18NM;2;T;200000;0;0,2;0,25;Una mujer está sujetando el cadaver de su madre, que acaba de fallecer, en casa. Por la edad de la mujer, diría que su madre tiene una edad evanzada así que habrá fallecido por temas derivados de la edad. ;A woman is holding the corpse of her mother, who has just died, at home. Because of the woman's age, I would say that her mother is of an advanced age, so she will have died due to age.
581800d76e962da7850f9ef1804b202c;11;0;T;200000;0,1;0,7;0,3;Parece ser que puede ser como un puente que entra en un castillo, ahí veo unas sombras, puede ser gente que esté entrando a una ciudadela o algo así. Están agrupado, puede ser un ejercito volviendo de un combate. Un ejercito volviendo del combate a una ciudadela. ;It seems that it can be like a bridge that enters a castle, there I see some shadows, it can be people who are entering a citadel or something like that. They are grouped, it can be an army returning from a combat. An army returning from combat to a citadel.
9441e8d938e3c168a4b3e82e52903416;10;2;T;200000;0,4;0,8;0,44;Parece una pareja y que es un hombre de mediana edad, ella le está abrazando y está cuchicheando algo al oído y ella parece que está afectiva, así con los ojos cerrados como dando señal de cariño. ;She looks like a couple and is a middle-aged man, she is hugging him and whispering something in her ear and she seems to be emotional, so with her eyes closed as if to show affection.
9441e8d938e3c168a4b3e82e52903416;13N;1;T;200000;0,3;0,9;0,56;Se ve como una escalera antigua, de los edificios de antes, y hay una señora que parece que va a subir, puede ser por ejemplo una señora que trabaje en la casa, por la vestimenta que lleve, y bueno, pues va a subir hacia arriba y ponerse a limpiar las escaleras o las casas del edificio. ;It looks like an old staircase, from the buildings before, and there is a lady who seems to be going up, maybe for example a lady who works in the house, for the clothes she wears, and well, she will go up upstairs and get to clean the stairs or the houses of the building.
9441e8d938e3c168a4b3e82e52903416;12VN;0;T;200000;0,4;0,8;0,58;Estamos en el campo, hay un arbolito, con una canoa que podría ser de un pescador, está cerca del lago, entonces, pues el pescardor probablemente tenga una casa de campo igual cerca, salga por el lago a dar un paseo, a pescar o lo que sea, y puede ser que estemos en primavera porque parece ser que hay flores en los árboles. ;We are in the countryside, there is a small tree, with a canoe that could be a fisherman, it is near the lake, then, because the fisherman probably has a similar farm house nearby, go out for a walk, fishing or whatever, and we may be in the spring because there seems to be flowers in the trees.
1259d6cb9f81f0f343097304b0fbbe45;12VN;0;T;200000;-0,2;0,2;0,25;Yo creo que un hombre solitario se fue a dar un paseo en barca por el río, aparcó ahí, y ahí la dejó, se fue. ;I think a lonely man went for a boat ride on the river, parked there, and left there, he left.
1259d6cb9f81f0f343097304b0fbbe45;3VH;1;T;200000;-0,3;0,7;0,22;Es una mujer que se despertó por la mañana, fue a su trabajo y la despidieron, y llegó a casa y se dio cuenta de que no le quedaba dinero y se puso a llorar. ;She is a woman who woke up in the morning, went to her job and was fired, and came home and realized that she had no money left and started crying.
1259d6cb9f81f0f343097304b0fbbe45;10;2;T;200000;0,5;1,1;0,4;Son dos abuelitos que se quieren mucho y que llevan toda la vida juntos y se están diciendo que se quieren mucho. ;They are two grandparents who love each other and who have been together all their lives and are saying that they love each other very much.
c7948d26bdae3927d400489fc0176949;13N;1;T;200000;0,1;0,1;0,51;Pues es un niño que está subiendo unas escaleras, que irá a algún sitio. ;Well it's a boy who is climbing some stairs, who will go somewhere.
c7948d26bdae3927d400489fc0176949;11;0;T;200000;0,3;0,3;0,42;Pues es un paisaje en el que parece haber animales y ya está. ;Well, it's a landscape where there seem to be animals and that's it.
c7948d26bdae3927d400489fc0176949;18NM;2;T;200000;-0,6;1,2;0,11;Pues son dos personas que no sé qué están haciendo. Se están despidiendo porque ese se va por ahí, lejos. ;Well, they are two people that I do not know what they are doing. They are saying goodbye because that one goes around, away.
0869cf46fd51daaf1ee9ad0a2d2dba6a;13V;1;T;200000;0;0;0,41;Es un niño que sus padres se han olvidado de él a la salida del colegio y está ahí sentado esperando.  ;He is a child whose parents have forgotten him after school and he is sitting there waiting.
0869cf46fd51daaf1ee9ad0a2d2dba6a;9VH;4;T;200000;0;0;0,5;Son unos granjeros que están en el momento del descanso, tomando el sol, después de haber comido en el campo. ;They are farmers who are at the time of rest, sunbathing, after having eaten in the field.
0869cf46fd51daaf1ee9ad0a2d2dba6a;7VH;2;T;200000;0;0;0,54;Es un padre dando consejos a un hijo en el ámbito laboral. ;He is a father giving advice to a son in the workplace.
de3c32efe4677ed064961e2a2bd6b7be;1;1;T;200000;-0,2;0,2;0,11;Era un niño que miraba muy triste el violín, que le obligaba tocar, porque a él le hubiera gustado tocar otro instrumento, como la batería. ;He was a boy who looked very sad at the violin, which forced him to play, because he would have liked to play another instrument, like the drums.
de3c32efe4677ed064961e2a2bd6b7be;12VN;0;T;200000;0,8;1,6;0,82;Un día en el bosque en el que disfrutamos mucho y pudimos recorrer el río en una barca, haciendo cosas distintas de las habituales, y en el que lo pasamos muy bien. ;A day in the forest in which we enjoyed a lot and we could travel the river in a boat, doing things different from the usual, and in which we had a great time.
de3c32efe4677ed064961e2a2bd6b7be;7VH;2;T;200000;0,4;0,4;0,65;Esta era la historía de un señor anciano en el que contaba cosas a otro alumnos más joven al que le explicaba lo importante de saber las cosas y pensarlas antes de hacerlas. ;This was the story of an old man in which he told things to other younger students to whom he explained the importance of knowing things and thinking about them before doing them.
f218eb77c97d846957ea8dc03ad38075;1;1;W;263616;-0,3;0,3;0,46;Erase una vez un niño que quería tocar una guitarra pero le regalaron un violín;Once upon a time there was a child who wanted to play a guitar but they gave him a violin
f218eb77c97d846957ea8dc03ad38075;9VH;4;W;263616;0;0;0,5;Estaba tumbado con sus amigos, viajando en un tren destino a lo desconocido;He was lying with his friends, traveling on a train destined for the unknown
f218eb77c97d846957ea8dc03ad38075;11;0;W;263616;0,1;1,6;0,08;En su viaje en elefante tenía que cruzar una gran catarata. Fue lento y tortuoso, pero al final lo consiguió ;On his elephant ride he had to cross a great waterfall. It was slow and tortuous, but in the end he got it
f218eb77c97d846957ea8dc03ad38075;13HM;2;W;263616;0,2;0,6;0,57;La acababa de conocer en una discoteca y habían pasado la noche juntos. Y ahí estaba ella, muerta por un ataque al corazón. Y el sin saber que hacer…;He had just met her in a nightclub and they had spent the night together. And there she was, dead from a heart attack. And the one without knowing what to do ...
a3268088e520bc3c84122621aa2792d7;1;1;W;405298;0,7;1,5;0,67;Érase una vez un niño llamado manolito, sus papás querían que fuera un gran violinista y aunque el era un niño muy aplicado por las tardes soñaba con bajar a la calle y jugar con otros niños a las canicas;Once upon a time there was a boy called manolito, his parents wanted him to be a great violinist and although he was a very applied boy in the afternoon he dreamed of going down to the street and playing with other children at the marbles
a3268088e520bc3c84122621aa2792d7;9VH;4;W;405298;0,8;1,6;0,65;Juan terminaba de trabajar y con los demás compañeros se recortaban al sol en la pradera, descansando y dejándose calentar por el sol de primavera y a veces soñaba con lo que haría cuando tuviera suficiente dinero tal vez un largo viaje, para conocer sitios nuevos pero en el fondo era un hombre tranquilo y realista y lo que apreciaba de todo eran esos pequeños momentos de quietud bajo el sol;Juan finished working and with the rest of the classmates they cut themselves in the sun on the meadow, resting and letting themselves be warmed by the spring sun, and sometimes he dreamed of what he would do when he had enough money, maybe a long trip, to know new places but in the background was a quiet and realistic man and what I appreciated all were those little moments of stillness under the sun
a3268088e520bc3c84122621aa2792d7;11;0;W;405298;0,9;0,9;0,56;En esa cueva el agua se filtraba discurriendo por las rocas y creando bellas cascadas que con la luz que se filtraba por pequeñas chimeneas naturales hacían que esas gotas de agua parecieran diamantes;In that cave the water filtered through the rocks and created beautiful waterfalls that with the light that filtered through small natural chimneys made those drops of water look like diamonds
